unit_price,order_value,quantity,country,major_category,minor_category,description,year,month,quarter,hour,day_time
0.85,10.2,12,United Kingdom,Clothes,Tops,PACK OF 20 NAPKINS PANTRY DESIGN,2011,7,Q3,9,Morning
2.95,35.4,12,United Kingdom,Clothes,Shoes,NATURAL SLATE HEART CHALKBOARD,2011,11,Q4,9,Morning
1.25,20.0,16,United Kingdom,Kitchen,Cutlery,36 PENCILS TUBE SKULLS,2011,4,Q2,10,Morning
7.46,7.46,1,United Kingdom,Garden,Turf,SET 6 SCHOOL MILK BOTTLES IN CRATE,2011,10,Q4,13,Afternoon
2.51,2.51,1,United Kingdom,Garden,Hoses,FINE WICKER HEART,2010,12,Q4,14,Afternoon
3.95,3.95,1,United Kingdom,Garden,Hoses,SEWING BOX RETROSPOT DESIGN,2011,6,Q2,12,Morning
2.1,12.6,6,United Kingdom,Clothes,Hats,3 TRADITIONAl BISCUIT CUTTERS  SET,2011,9,Q3,13,Afternoon
4.95,29.7,6,United Kingdom,Clothes,Tops,BULL DOG BOTTLE OPENER,2011,12,Q4,12,Morning
2.46,44.28,18,United Kingdom,Household,Curtains,STRAWBERRY CHARLOTTE BAG,2011,9,Q3,12,Morning
1.69,3.38,2,United Kingdom,Household,Lamps,FAIRY SOAP SOAP HOLDER,2011,1,Q1,14,Afternoon
0.39,1.56,4,United Kingdom,Kitchen,Cooking Knives,PACK OF 12 VINTAGE DOILY TISSUES,2011,9,Q3,14,Afternoon
0.55,0.55,1,United Kingdom,Household,Lamps,PACK OF 60 DINOSAUR CAKE CASES,2011,4,Q2,14,Afternoon
1.25,30.0,24,United Kingdom,Household,Chairs,ICE CREAM PEN LIP GLOSS,2011,12,Q4,10,Morning
1.65,16.5,10,United Kingdom,Clothes,Shoes,LUNCH BAG CARS BLUE,2011,8,Q3,8,Morning
1.65,1.65,1,United Kingdom,Kitchen,Coasters,6 RIBBONS RUSTIC CHARM,2011,7,Q3,13,Afternoon
4.25,4.25,1,United Kingdom,Clothes,Tops,ROSE 3 WICK MORRIS BOX CANDLE,2010,6,Q2,12,Morning
2.1,25.2,12,United Kingdom,Kitchen,Scales,HAND WARMER SCOTTY DOG DESIGN,2011,8,Q3,15,Afternoon
4.25,25.5,6,United Kingdom,Household,Rugs,JAM MAKING SET WITH JARS,2011,5,Q2,10,Morning
1.28,1.28,1,United Kingdom,Clothes,Shoes,12 PENCILS SMALL TUBE RED RETROSPOT,2010,12,Q4,16,Afternoon
2.95,2.95,1,United Kingdom,Household,Rugs,PAPER CHAIN KIT 50'S CHRISTMAS,2010,5,Q2,11,Morning
1.45,34.8,24,United Kingdom,Clothes,Hats,LAUNDRY 15C METAL SIGN,2011,10,Q4,15,Afternoon
3.29,3.29,1,United Kingdom,Clothes,Shoes,PANTRY MAGNETIC  SHOPPING LIST,2011,8,Q3,10,Morning
2.46,2.46,1,United Kingdom,Household,Chairs,SUMMER BUTTERFLIES BAG CHARM,2011,1,Q1,17,Afternoon
4.95,9.9,2,United Kingdom,Household,Curtains,SPOTTY BUNTING,2011,5,Q2,12,Morning
1.25,15.0,12,United Kingdom,Kitchen,Cooking Knives,PINK BLUE FELT CRAFT TRINKET BOX,2011,4,Q2,12,Morning
2.55,10.2,4,United Kingdom,Clothes,Shoes,QUEENS GUARD COFFEE MUG,2011,10,Q4,12,Morning
0.83,0.83,1,United Kingdom,Kitchen,Cutlery,TRAVEL CARD WALLET SUKI,2011,4,Q2,13,Afternoon
7.95,7.95,1,United Kingdom,Clothes,Hats,DOORMAT RED RETROSPOT,2011,7,Q3,14,Afternoon
2.1,12.6,6,United Kingdom,Kitchen,Plates,3 PIECE SPACEBOY COOKIE CUTTER SET,2011,8,Q3,9,Morning
0.21,6.3,30,United Kingdom,Household,Chairs,SLEEPING CAT ERASERS,2011,11,Q4,11,Morning
2.95,2.95,1,United Kingdom,Kitchen,Plates,SET 12 LAVENDER  BOTANICAL T-LIGHTS,2011,7,Q3,12,Morning
1.65,19.8,12,United Kingdom,Clothes,Hats,PLASTERS IN TIN VINTAGE PAISLEY,2011,6,Q2,14,Afternoon
3.29,3.29,1,United Kingdom,Garden,Seeds,HOMEMADE JAM SCENTED CANDLES,2011,4,Q2,17,Afternoon
1.63,9.78,6,United Kingdom,Household,Curtains,SCOTTIES CHILDRENS APRON,2011,1,Q1,15,Afternoon
1.25,25.0,20,United Kingdom,Clothes,Hats,3D TRADITIONAL CHRISTMAS STICKERS,2010,2,Q1,14,Afternoon
2.95,2.95,1,United Kingdom,Kitchen,Cutlery,PAPER CHAIN KIT 50'S CHRISTMAS,2011,7,Q3,14,Afternoon
7.95,15.9,2,United Kingdom,Garden,Turf,DOORMAT NEW ENGLAND,2011,5,Q2,12,Morning
1.65,19.8,12,United Kingdom,Garden,Hoses,CLOTHES PEGS RETROSPOT PACK 24,2011,6,Q2,11,Morning
4.25,4.25,1,United Kingdom,Kitchen,Coasters,AIRLINE BAG VINTAGE TOKYO 78,2011,8,Q3,15,Afternoon
0.29,6.96,24,United Kingdom,Garden,Hoses,JASMINE VOTIVE CANDLE,2011,1,Q1,11,Morning
7.95,15.9,2,United Kingdom,Clothes,Tops,ROUND CAKE TIN VINTAGE RED,2011,6,Q2,11,Morning
8.29,8.29,1,United Kingdom,Garden,Turf,SET OF 6 SPICE TINS PANTRY DESIGN,2011,1,Q1,18,Afternoon
1.25,15.0,12,United Kingdom,Household,Curtains,SET OF SALT AND PEPPER TOADSTOOLS,2011,4,Q2,12,Morning
2.08,20.8,10,United Kingdom,Household,Curtains,JUMBO BAG VINTAGE LEAF,2011,5,Q2,14,Afternoon
0.83,0.83,1,United Kingdom,Kitchen,Coasters,"LETTER ""M"" BLING KEY RING",2011,9,Q3,16,Afternoon
1.65,9.9,6,United Kingdom,Kitchen,Cutlery,PLASTERS IN TIN WOODLAND ANIMALS,2011,10,Q4,14,Afternoon
1.45,2.9,2,United Kingdom,Household,Lamps,SET OF 36 PAISLEY FLOWER DOILIES,2011,10,Q4,14,Afternoon
2.95,11.8,4,United Kingdom,Household,Lamps,PAPER BUNTING COLOURED LACE,2011,1,Q1,13,Afternoon
0.55,13.2,24,United Kingdom,Garden,Rakes,PACK OF 60 PINK PAISLEY CAKE CASES,2011,3,Q1,8,Morning
2.95,17.7,6,United Kingdom,Household,Chairs,NATURAL SLATE HEART CHALKBOARD,2011,7,Q3,13,Afternoon
5.91,23.64,4,United Kingdom,Kitchen,Plates,OFFICE MUG WARMER BLACK+SILVER,2010,12,Q4,14,Afternoon
4.13,4.13,1,United Kingdom,Kitchen,Cutlery,NUMBER TILE COTTAGE GARDEN 1,2011,1,Q1,17,Afternoon
7.46,7.46,1,United Kingdom,Garden,Rakes,FOOD COVER WITH BEADS SET 2,2011,9,Q3,10,Morning
3.95,3.95,1,United Kingdom,Garden,Rakes,GLASS APOTHECARY BOTTLE ELIXIR,2011,9,Q3,11,Morning
2.95,70.8,24,United Kingdom,Clothes,Hats,PAPER CHAIN KIT EMPIRE,2011,7,Q3,12,Morning
1.95,15.6,8,United Kingdom,Kitchen,Plates,GINGHAM HEART  DOORSTOP RED,2011,7,Q3,9,Morning
2.1,25.2,12,United Kingdom,Kitchen,Coasters,HAND WARMER BABUSHKA DESIGN,2010,6,Q2,14,Afternoon
5.79,5.79,1,United Kingdom,Kitchen,Scales,PAPER CHAIN KIT RETROSPOT,2011,9,Q3,16,Afternoon
2.08,8.32,4,United Kingdom,Kitchen,Cooking Knives,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,2011,9,Q3,15,Afternoon
3.75,15.0,4,United Kingdom,Garden,Rakes,VINTAGE SNAKES & LADDERS,2011,6,Q2,14,Afternoon
1.65,3.3,2,United Kingdom,Household,Curtains,EASTER TIN CHICKS PINK DAISY,2011,2,Q1,15,Afternoon
0.85,8.5,10,United Kingdom,Clothes,Shoes,CHARLOTTE BAG SUKI DESIGN,2011,3,Q1,9,Morning
4.95,59.4,12,United Kingdom,Household,Curtains,HOT WATER BOTTLE KEEP CALM,2011,10,Q4,14,Afternoon
2.25,2.25,1,United Kingdom,Kitchen,Cutlery,ABC TREASURE BOOK BOX,2011,4,Q2,11,Morning
0.83,7.47,9,United Kingdom,Kitchen,Scales,WOODEN TREE CHRISTMAS SCANDINAVIAN,2011,11,Q4,15,Afternoon
0.85,1.7,2,United Kingdom,Household,Lamps,CARD PARTY GAMES,2010,10,Q4,14,Afternoon
8.5,8.5,1,United Kingdom,Household,Curtains,IVORY KITCHEN SCALES,2011,8,Q3,19,Evening
2.95,8.85,3,United Kingdom,Household,Curtains,IVORY PILLAR CANDLE SILVER FLOCK,2010,5,Q2,13,Afternoon
8.29,8.29,1,United Kingdom,Clothes,Shoes,OWL DOORSTOP,2011,10,Q4,15,Afternoon
