invoiceno,unitprice,ordervalue,quantity,country,invoicedate,invoicetime,year_month,major_category,minor_category,description,year,month,hour,time_of_day
549185,0.85,10.2,12,United Kingdom,2011-04-07,0 days 09:35:00,2011-04,Clothes,Tops,PACK OF 20 NAPKINS PANTRY DESIGN,2011,4,9,Morning
576381,2.95,35.4,12,United Kingdom,2011-11-15,0 days 09:26:00,2011-11,Clothes,Shoes,NATURAL SLATE HEART CHALKBOARD,2011,11,9,Morning
551192,1.25,20.0,16,United Kingdom,2011-04-27,0 days 10:54:00,2011-04,Kitchen,Cutlery,36 PENCILS TUBE SKULLS,2011,4,10,Morning
573553,7.46,7.46,1,United Kingdom,2011-10-31,0 days 13:48:00,2011-10,Garden,Turf,SET 6 SCHOOL MILK BOTTLES IN CRATE,2011,10,13,Afternoon
539436,2.51,2.51,1,United Kingdom,2010-12-17,0 days 14:49:00,2010-12,Garden,Hoses,FINE WICKER HEART,2010,12,14,Afternoon
580893,3.95,3.95,1,United Kingdom,2011-12-06,0 days 12:38:00,2011-12,Garden,Hoses,SEWING BOX RETROSPOT DESIGN,2011,12,12,Afternoon
568321,2.1,12.6,6,United Kingdom,2011-09-26,0 days 13:36:00,2011-09,Clothes,Hats,3 TRADITIONAl BISCUIT CUTTERS  SET,2011,9,13,Afternoon
552949,4.95,29.7,6,United Kingdom,2011-05-12,0 days 12:01:00,2011-05,Clothes,Tops,BULL DOG BOTTLE OPENER,2011,5,12,Afternoon
567461,2.46,44.28,18,United Kingdom,2011-09-20,0 days 12:31:00,2011-09,Household,Curtains,STRAWBERRY CHARLOTTE BAG,2011,9,12,Afternoon
542121,1.69,3.38,2,United Kingdom,2011-01-25,0 days 14:33:00,2011-01,Household,Lamps,FAIRY SOAP SOAP HOLDER,2011,1,14,Afternoon
566913,0.39,1.56,4,United Kingdom,2011-09-15,0 days 14:07:00,2011-09,Kitchen,Cooking Knives,PACK OF 12 VINTAGE DOILY TISSUES,2011,9,14,Afternoon
550477,0.55,0.55,1,United Kingdom,2011-04-18,0 days 14:01:00,2011-04,Household,Lamps,PACK OF 60 DINOSAUR CAKE CASES,2011,4,14,Afternoon
538663,12.75,25.5,2,United Kingdom,2010-12-13,0 days 15:45:00,2010-12,Household,Rugs,CAKE STAND 3 TIER MAGIC GARDEN,2010,12,15,Afternoon
570715,1.25,30.0,24,United Kingdom,2011-10-12,0 days 10:23:00,2011-10,Household,Chairs,ICE CREAM PEN LIP GLOSS,2011,10,10,Morning
549299,1.65,16.5,10,United Kingdom,2011-04-08,0 days 08:20:00,2011-04,Clothes,Shoes,LUNCH BAG CARS BLUE,2011,4,8,Morning
559902,1.65,1.65,1,United Kingdom,2011-07-13,0 days 13:14:00,2011-07,Kitchen,Coasters,6 RIBBONS RUSTIC CHARM,2011,7,13,Afternoon
537369,4.25,4.25,1,United Kingdom,2010-12-06,0 days 12:41:00,2010-12,Clothes,Tops,ROSE 3 WICK MORRIS BOX CANDLE,2010,12,12,Afternoon
564353,2.1,25.2,12,United Kingdom,2011-08-24,0 days 15:08:00,2011-08,Kitchen,Scales,HAND WARMER SCOTTY DOG DESIGN,2011,8,15,Afternoon
562455,4.25,25.5,6,United Kingdom,2011-08-05,0 days 10:32:00,2011-08,Household,Rugs,JAM MAKING SET WITH JARS,2011,8,10,Morning
539451,1.28,1.28,1,United Kingdom,2010-12-17,0 days 16:59:00,2010-12,Clothes,Shoes,12 PENCILS SMALL TUBE RED RETROSPOT,2010,12,16,Afternoon
537057,2.95,2.95,1,United Kingdom,2010-12-05,0 days 11:49:00,2010-12,Household,Rugs,PAPER CHAIN KIT 50'S CHRISTMAS,2010,12,11,Morning
549568,1.45,34.8,24,United Kingdom,2011-04-10,0 days 15:09:00,2011-04,Clothes,Hats,LAUNDRY 15C METAL SIGN,2011,4,15,Afternoon
564758,3.29,3.29,1,United Kingdom,2011-08-30,0 days 10:39:00,2011-08,Clothes,Shoes,PANTRY MAGNETIC  SHOPPING LIST,2011,8,10,Morning
541424,2.46,2.46,1,United Kingdom,2011-01-17,0 days 17:57:00,2011-01,Household,Chairs,SUMMER BUTTERFLIES BAG CHARM,2011,1,17,Afternoon
559000,4.95,9.9,2,United Kingdom,2011-07-05,0 days 12:15:00,2011-07,Household,Curtains,SPOTTY BUNTING,2011,7,12,Afternoon
550438,1.25,15.0,12,United Kingdom,2011-04-18,0 days 12:16:00,2011-04,Kitchen,Cooking Knives,PINK BLUE FELT CRAFT TRINKET BOX,2011,4,12,Afternoon
549556,2.55,10.2,4,United Kingdom,2011-04-10,0 days 12:53:00,2011-04,Clothes,Shoes,QUEENS GUARD COFFEE MUG,2011,4,12,Afternoon
550474,0.83,0.83,1,United Kingdom,2011-04-18,0 days 13:58:00,2011-04,Kitchen,Cutlery,TRAVEL CARD WALLET SUKI,2011,4,13,Afternoon
559317,7.95,7.95,1,United Kingdom,2011-07-07,0 days 14:03:00,2011-07,Clothes,Hats,DOORMAT RED RETROSPOT,2011,7,14,Afternoon
545906,2.1,12.6,6,United Kingdom,2011-03-08,0 days 09:23:00,2011-03,Kitchen,Plates,3 PIECE SPACEBOY COOKIE CUTTER SET,2011,3,9,Morning
568538,7.08,424.8,60,United Kingdom,2011-09-27,0 days 14:07:00,2011-09,Garden,Turf,DOORMAT NEW ENGLAND,2011,9,14,Afternoon
575944,0.21,6.3,30,United Kingdom,2011-11-13,0 days 11:46:00,2011-11,Household,Chairs,SLEEPING CAT ERASERS,2011,11,11,Morning
545797,2.95,2.95,1,United Kingdom,2011-03-07,0 days 12:17:00,2011-03,Kitchen,Plates,SET 12 LAVENDER  BOTANICAL T-LIGHTS,2011,3,12,Afternoon
540349,1.65,19.8,12,United Kingdom,2011-01-06,0 days 14:07:00,2011-01,Clothes,Hats,PLASTERS IN TIN VINTAGE PAISLEY,2011,1,14,Afternoon
551174,3.29,3.29,1,United Kingdom,2011-04-26,0 days 17:02:00,2011-04,Garden,Seeds,HOMEMADE JAM SCENTED CANDLES,2011,4,17,Afternoon
541592,1.63,9.78,6,United Kingdom,2011-01-19,0 days 15:08:00,2011-01,Household,Curtains,SCOTTIES CHILDRENS APRON,2011,1,15,Afternoon
536769,1.25,25.0,20,United Kingdom,2010-12-02,0 days 14:47:00,2010-12,Clothes,Hats,3D TRADITIONAL CHRISTMAS STICKERS,2010,12,14,Afternoon
581166,2.95,2.95,1,United Kingdom,2011-12-07,0 days 14:43:00,2011-12,Kitchen,Cutlery,PAPER CHAIN KIT 50'S CHRISTMAS,2011,12,14,Afternoon
548978,7.95,15.9,2,United Kingdom,2011-04-05,0 days 12:08:00,2011-04,Garden,Turf,DOORMAT NEW ENGLAND,2011,4,12,Afternoon
558315,1.65,19.8,12,United Kingdom,2011-06-28,0 days 11:44:00,2011-06,Garden,Hoses,CLOTHES PEGS RETROSPOT PACK 24,2011,6,11,Morning
546009,4.25,4.25,1,United Kingdom,2011-03-08,0 days 15:45:00,2011-03,Kitchen,Coasters,AIRLINE BAG VINTAGE TOKYO 78,2011,3,15,Afternoon
542835,0.29,6.96,24,United Kingdom,2011-02-01,0 days 11:30:00,2011-02,Garden,Hoses,JASMINE VOTIVE CANDLE,2011,2,11,Morning
558315,7.95,15.9,2,United Kingdom,2011-06-28,0 days 11:44:00,2011-06,Clothes,Tops,ROUND CAKE TIN VINTAGE RED,2011,6,11,Morning
541695,8.29,8.29,1,United Kingdom,2011-01-20,0 days 18:01:00,2011-01,Garden,Turf,SET OF 6 SPICE TINS PANTRY DESIGN,2011,1,18,Evening
551824,1.25,15.0,12,United Kingdom,2011-05-04,0 days 12:32:00,2011-05,Household,Curtains,SET OF SALT AND PEPPER TOADSTOOLS,2011,5,12,Afternoon
553869,2.08,20.8,10,United Kingdom,2011-05-19,0 days 14:27:00,2011-05,Household,Curtains,JUMBO BAG VINTAGE LEAF,2011,5,14,Afternoon
566602,0.83,0.83,1,United Kingdom,2011-09-13,0 days 16:05:00,2011-09,Kitchen,Coasters,"LETTER ""M"" BLING KEY RING",2011,9,16,Afternoon
575647,1.65,9.9,6,United Kingdom,2011-11-10,0 days 14:16:00,2011-11,Kitchen,Cutlery,PLASTERS IN TIN WOODLAND ANIMALS,2011,11,14,Afternoon
572513,1.45,2.9,2,United Kingdom,2011-10-24,0 days 14:36:00,2011-10,Household,Lamps,SET OF 36 PAISLEY FLOWER DOILIES,2011,10,14,Afternoon
542890,2.95,11.8,4,United Kingdom,2011-02-01,0 days 13:25:00,2011-02,Household,Lamps,PAPER BUNTING COLOURED LACE,2011,2,13,Afternoon
547883,0.55,13.2,24,United Kingdom,2011-03-28,0 days 08:40:00,2011-03,Garden,Rakes,PACK OF 60 PINK PAISLEY CAKE CASES,2011,3,8,Morning
560264,2.95,17.7,6,United Kingdom,2011-07-17,0 days 13:46:00,2011-07,Household,Chairs,NATURAL SLATE HEART CHALKBOARD,2011,7,13,Afternoon
539437,5.91,23.64,4,United Kingdom,2010-12-17,0 days 14:54:00,2010-12,Kitchen,Plates,OFFICE MUG WARMER BLACK+SILVER,2010,12,14,Afternoon
555278,4.13,4.13,1,United Kingdom,2011-06-01,0 days 17:33:00,2011-06,Kitchen,Cutlery,NUMBER TILE COTTAGE GARDEN 1,2011,6,17,Afternoon
